Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
Label,
TIME,CH1
-1.6648e-05,-0.0248
-1.6644e-05,-0.044
-1.6640e-05,0.0744
-1.6636e-05,-0.04
-1.6632e-05,-0.0352
-1.6628e-05,0.0768
-1.6624e-05,-0.048
-1.6620e-05,-0.0184
-1.6616e-05,0.0768
-1.6612e-05,-0.056
-1.6608e-05,-0.012
-1.6604e-05,0.0696
-1.6600e-05,-0.064
-1.6596e-05,0.0024
-1.6592e-05,0.064
-1.6588e-05,-0.0696
-1.6584e-05,0.0104
-1.6580e-05,0.0576
-1.6576e-05,-0.072
-1.6572e-05,0.02
-1.6568e-05,0.0504
-1.6564e-05,-0.0784
-1.6560e-05,0.0368
-1.6556e-05,0.04
-1.6552e-05,-0.0768
-1.6548e-05,0.0448
-1.6544e-05,0.028
-1.6540e-05,-0.0736
-1.6536e-05,0.056
-1.6532e-05,0.0168
-1.6528e-05,-0.072
-1.6524e-05,0.0616
-1.6520e-05,0.0072
-1.6516e-05,-0.0664
-1.6512e-05,0.0704
-1.6508e-05,-0.0024
-1.6504e-05,-0.0592
-1.6500e-05,0.0736
-1.6496e-05,-0.0168
-1.6492e-05,-0.0528
-1.6488e-05,0.0752
-1.6484e-05,-0.0272
-1.6480e-05,-0.044
-1.6476e-05,0.0792
-1.6472e-05,-0.0384
